instance_id,resolved,patch_applied
django__django-16899,True,True
django__django-16901,True,True
django__django-16938,True,True
django__django-16950,False,True
django__django-17029,True,True
django__django-17084,True,True
django__django-17087,True,True
django__django-7530,True,True
django__django-9296,True,True
matplotlib__matplotlib-13989,True,True
matplotlib__matplotlib-14623,True,True
matplotlib__matplotlib-20488,True,True
matplotlib__matplotlib-20676,False,True
matplotlib__matplotlib-20826,True,True
matplotlib__matplotlib-20859,True,True
matplotlib__matplotlib-21568,False,True
matplotlib__matplotlib-22719,True,True
matplotlib__matplotlib-22865,True,True
matplotlib__matplotlib-22871,True,True
matplotlib__matplotlib-23299,False,True
matplotlib__matplotlib-23314,True,True
matplotlib__matplotlib-23412,True,True
matplotlib__matplotlib-23476,False,True
matplotlib__matplotlib-24026,True,True
matplotlib__matplotlib-24149,True,True
matplotlib__matplotlib-24177,True,True
matplotlib__matplotlib-24570,True,True
matplotlib__matplotlib-24627,True,True
matplotlib__matplotlib-24637,True,True
matplotlib__matplotlib-24870,False,True
matplotlib__matplotlib-24970,True,True
matplotlib__matplotlib-25122,True,True
matplotlib__matplotlib-25287,True,True
matplotlib__matplotlib-25311,True,True
matplotlib__matplotlib-25332,True,True
matplotlib__matplotlib-25479,False,True
matplotlib__matplotlib-25775,True,True
matplotlib__matplotlib-25960,False,True
matplotlib__matplotlib-26113,True,True
matplotlib__matplotlib-26208,False,True
matplotlib__matplotlib-26291,True,True
matplotlib__matplotlib-26342,True,True
matplotlib__matplotlib-26466,False,True
mwaskom__seaborn-3069,False,True
mwaskom__seaborn-3187,False,True
pallets__flask-5014,True,True
psf__requests-1142,True,True
psf__requests-1724,True,True
psf__requests-1766,True,True
psf__requests-1921,False,True
psf__requests-2317,False,True
psf__requests-2931,True,True
psf__requests-5414,True,True
psf__requests-6028,False,True
pydata__xarray-2905,True,True
pydata__xarray-3095,True,True
pydata__xarray-3151,True,True
pydata__xarray-3305,True,True
pydata__xarray-3677,True,True
pydata__xarray-3993,True,True
pydata__xarray-4075,True,True
pydata__xarray-4094,True,True
pydata__xarray-4356,True,True
pydata__xarray-4629,True,True
pydata__xarray-4687,False,True
pydata__xarray-4695,True,True
pydata__xarray-4966,True,True
pydata__xarray-6461,True,True
pydata__xarray-6599,True,True
pydata__xarray-6721,True,True
pydata__xarray-6744,True,True
pydata__xarray-6938,False,True
pydata__xarray-6992,False,True
pydata__xarray-7229,False,True
pydata__xarray-7233,True,True
pydata__xarray-7393,True,True
pylint-dev__pylint-4551,False,True
pylint-dev__pylint-4604,False,True
pylint-dev__pylint-4661,False,True
pylint-dev__pylint-4970,False,True
pylint-dev__pylint-6386,True,True
pylint-dev__pylint-6528,False,True
pylint-dev__pylint-6903,True,True
pylint-dev__pylint-7080,False,True
pylint-dev__pylint-7277,False,True
pylint-dev__pylint-8898,False,True
pytest-dev__pytest-10051,True,True
pytest-dev__pytest-10081,True,True
pytest-dev__pytest-10356,False,True
pytest-dev__pytest-5262,True,True
pytest-dev__pytest-5631,True,True
pytest-dev__pytest-5787,True,True
pytest-dev__pytest-5809,True,True
pytest-dev__pytest-5840,False,True
pytest-dev__pytest-6197,False,True
pytest-dev__pytest-6202,True,True
pytest-dev__pytest-7205,False,True
pytest-dev__pytest-7236,True,True
pytest-dev__pytest-7324,True,True
pytest-dev__pytest-7432,True,True
pytest-dev__pytest-7490,True,True
pytest-dev__pytest-7521,True,True
pytest-dev__pytest-7571,True,True
pytest-dev__pytest-7982,True,True
pytest-dev__pytest-8399,True,True
scikit-learn__scikit-learn-10297,True,True
scikit-learn__scikit-learn-10844,True,True
scikit-learn__scikit-learn-10908,True,True
scikit-learn__scikit-learn-11310,True,True
scikit-learn__scikit-learn-11578,True,True
scikit-learn__scikit-learn-12585,True,True
scikit-learn__scikit-learn-12682,True,True
scikit-learn__scikit-learn-12973,True,True
scikit-learn__scikit-learn-13124,True,True
scikit-learn__scikit-learn-13135,True,True
scikit-learn__scikit-learn-13142,True,True
scikit-learn__scikit-learn-13328,True,True
scikit-learn__scikit-learn-13439,True,True
scikit-learn__scikit-learn-13496,True,True
scikit-learn__scikit-learn-13779,True,True
scikit-learn__scikit-learn-14053,True,True
scikit-learn__scikit-learn-14087,True,True
scikit-learn__scikit-learn-14141,True,True
scikit-learn__scikit-learn-14496,True,True
scikit-learn__scikit-learn-14629,True,True
scikit-learn__scikit-learn-14710,True,True
scikit-learn__scikit-learn-14894,True,True
scikit-learn__scikit-learn-14983,True,True
scikit-learn__scikit-learn-15100,True,True
scikit-learn__scikit-learn-25102,False,True
scikit-learn__scikit-learn-25232,True,True
scikit-learn__scikit-learn-25747,False,True
scikit-learn__scikit-learn-25931,True,True
scikit-learn__scikit-learn-25973,True,True
scikit-learn__scikit-learn-26194,False,True
scikit-learn__scikit-learn-26323,True,True
scikit-learn__scikit-learn-9288,True,True
sphinx-doc__sphinx-10323,True,True
sphinx-doc__sphinx-10435,False,True
sphinx-doc__sphinx-10449,True,True
sphinx-doc__sphinx-10466,True,True
sphinx-doc__sphinx-10614,False,True
sphinx-doc__sphinx-10673,True,True
sphinx-doc__sphinx-11445,True,True
sphinx-doc__sphinx-11510,False,True
sphinx-doc__sphinx-7440,True,True
sphinx-doc__sphinx-7454,True,True
sphinx-doc__sphinx-7462,False,True
sphinx-doc__sphinx-7590,False,True
sphinx-doc__sphinx-7748,False,True
sphinx-doc__sphinx-7757,True,True
sphinx-doc__sphinx-7889,True,True
sphinx-doc__sphinx-7910,True,True
sphinx-doc__sphinx-7985,False,True
sphinx-doc__sphinx-8035,True,True
sphinx-doc__sphinx-8056,True,True
sphinx-doc__sphinx-8120,True,True
sphinx-doc__sphinx-8265,True,True
sphinx-doc__sphinx-8269,True,True
sphinx-doc__sphinx-8459,True,True
sphinx-doc__sphinx-8475,True,True
sphinx-doc__sphinx-8548,False,True
sphinx-doc__sphinx-8551,True,True
sphinx-doc__sphinx-8593,False,True
sphinx-doc__sphinx-8595,True,True
sphinx-doc__sphinx-8621,True,True
sphinx-doc__sphinx-8638,False,True
sphinx-doc__sphinx-8721,True,True
sphinx-doc__sphinx-9229,False,True
sphinx-doc__sphinx-9230,True,True
sphinx-doc__sphinx-9258,False,True
sphinx-doc__sphinx-9281,True,True
sphinx-doc__sphinx-9320,True,True
sphinx-doc__sphinx-9367,True,True
sphinx-doc__sphinx-9461,False,True
sphinx-doc__sphinx-9591,True,True
sphinx-doc__sphinx-9602,False,True
sphinx-doc__sphinx-9658,True,True
sphinx-doc__sphinx-9673,True,True
sphinx-doc__sphinx-9698,True,True
sphinx-doc__sphinx-9711,True,True
sympy__sympy-11618,True,True
sympy__sympy-12096,True,True
sympy__sympy-12419,True,True
sympy__sympy-12481,True,True
sympy__sympy-12489,False,True
sympy__sympy-13031,True,True
sympy__sympy-13091,True,True
sympy__sympy-13372,True,True
sympy__sympy-13480,True,True
sympy__sympy-13551,True,True
sympy__sympy-13615,True,True
sympy__sympy-13647,True,True
sympy__sympy-13757,True,True
sympy__sympy-13798,False,True
sympy__sympy-13852,False,True
sympy__sympy-13877,True,True
sympy__sympy-13878,False,True
sympy__sympy-13974,True,True
sympy__sympy-14248,True,True
sympy__sympy-14531,True,True
sympy__sympy-14711,True,True
sympy__sympy-14976,False,True
sympy__sympy-15017,True,True
sympy__sympy-15345,True,True
sympy__sympy-15349,True,True
sympy__sympy-15599,True,True
sympy__sympy-15809,True,True
sympy__sympy-15875,False,True
sympy__sympy-15976,True,True
sympy__sympy-16450,True,True
sympy__sympy-16597,False,True
sympy__sympy-16766,True,True
sympy__sympy-16792,True,True
sympy__sympy-16886,True,True
sympy__sympy-17139,True,True
sympy__sympy-17318,False,True
sympy__sympy-17630,False,True
sympy__sympy-17655,True,True
sympy__sympy-18189,True,True
sympy__sympy-18199,False,True
sympy__sympy-18211,False,True
sympy__sympy-18698,False,True
sympy__sympy-18763,False,True
sympy__sympy-19040,True,True
sympy__sympy-19346,True,True
sympy__sympy-19495,True,True
sympy__sympy-19637,True,True
sympy__sympy-19783,True,True
sympy__sympy-19954,True,True
sympy__sympy-20154,True,True
sympy__sympy-20428,False,True
sympy__sympy-20438,False,True
sympy__sympy-20590,True,True
sympy__sympy-20801,True,True
sympy__sympy-20916,False,True
sympy__sympy-21379,True,True
sympy__sympy-21596,False,True
sympy__sympy-21612,False,True
sympy__sympy-21847,True,True
sympy__sympy-21930,False,True
sympy__sympy-22080,False,True
sympy__sympy-22456,True,True
sympy__sympy-22714,True,True
sympy__sympy-22914,True,True
sympy__sympy-23262,True,True
sympy__sympy-23413,True,True
sympy__sympy-23534,True,True
sympy__sympy-23824,True,True
sympy__sympy-23950,False,True
sympy__sympy-24066,True,True
sympy__sympy-24213,True,True
sympy__sympy-24443,True,True
sympy__sympy-24539,True,True
sympy__sympy-24562,True,True
sympy__sympy-24661,True,True
